MATRIZ DE TRAZABILIDAD,Actualización:,7 de agosto de 2026
"Nombre del proyecto: ""Brazo robótico programable mediante ROS para automatización de tareas repetitivas basado en grabación y reproducción de trayectorias"""
Categoría,Código,Identificación Requisito,Descripción del Requisito,Objetivo,Implementación,Importancia,Tarea Asociada,Fecha,Comentario,Avance [%]
Seguridad e inicialización,R5.3,Posición de referencia,El brazo deberá contar con una posición de referencia para iniciar o finalizar operaciones.,Ordenar el ciclo de trabajo y facilitar la repetición de tareas.,Definición de una posición inicial o de reposo.,MEDIA,T25,12/8/2026,,"0,00%"
Software y control,R6.0,Operación autónoma local,El brazo deberá poder ejecutar sus funciones principales sin requerir una computadora externa durante el uso normal.,Hacer que el producto sea práctico como equipo independiente.,"Integración del control, la interfaz y el almacenamiento dentro del equipo.",BAJA,T15,21/6/2026,Aun no lo compré. Estoy diseñando el sistema para usarlo desde la PC por falta de presupuesto.,"0,00%"
Software y control,R6.1,Organización del control del sistema,"El producto deberá coordinar de forma ordenada el movimiento del brazo, el estado de operación y la gestión de tareas.","Mantener una lógica de funcionamiento clara, mantenible y ampliable.","Arquitectura interna modular para control, estados y trayectorias.",MEDIA,"T01, T02",19/7/2026,,"87,50%"
Hardware e integración física,R7.0,Uso en entorno interior / Grado de protección,El producto deberá estar pensado para operar en espacios interiores de trabajo o laboratorio.,Adecuar el equipo al contexto de uso previsto.,Diseño del brazo y del gabinete electrónico orientado a operación en interiores.,MEDIA,T60,15/7/2026,,"0,00%"
Hardware e integración física,R7.1,Alimentación por red electrica,El sistema deberá poder alimentarse desde la red eléctrica disponible en el lugar de uso.,Permitir la operación continua del brazo robótico en un entorno de trabajo.,Sistema de alimentación integrado al conjunto del producto.,ALTA,T41,20/7/2026,,"0,00%"
Hardware e integración física,R7.2,Fabricación de bajo costo,El brazo robótico deberá contemplar una construcción que permita reducir costos de fabricación y facilitar la reposición de piezas.,Disminuir el costo general del producto y facilitar su mantenimiento o reparación.,Diseño de piezas fabricables mediante impresión 3D.,MEDIA,"T04, T16, T37",5/8/2026,Brazo 3D ensamblado,"100,00%"
Validación y pruebas,R8.0,Validación previa de funcionamiento,El sistema deberá permitir verificar el comportamiento del brazo antes de operar físicamente.,Reducir errores durante la puesta en marcha y las pruebas.,Entorno de validación o simulación del comportamiento del brazo.,MEDIA,T21,14/8/2026,,"0,00%"
Validación y pruebas,R8.1,Simulación,El sistema deberá contar con un modelo de simulación que permita validar funcionalidades antes de su implementación física.,La simulación deberá utilizarse para reducir errores durante la puesta en marcha y facilitar el desarrollo del control.,Elaborar una réplica virtual del brazo robótico.,MEDIA,T21,14/8/2026,,"0,00%"
Validación y pruebas,R8.2,Prueba de manipulación,"El sistema deberá demostrar que puede agarrar, trasladar y liberar un objeto.",Validar que el sistema real sea capaz de realizar las acciones principales del brazo robótico.,Mover un objeto entre dos posiciones específicas.,ALTA,T42,28/10/2026,,"0,00%"
Validación y pruebas,R8.3,Prueba de repetibilidad,El sistema deberá demostrar que puede ejecutar una misma trayectoria repetidas veces manteniendo el mismo resultado.,Validar repetibilidad del sistema.,Mover el brazo por una trayectoria conocida que involucre a todos las articulaciones del mismo más de 30 veces manteniendo un resultado consistente.,ALTA,T43,29/10/2026,,"0,00%"
Validación y pruebas,R8.4,Prueba de precisión,El sistema deberá demostrar que puede realizar tareas con determinada presición.,Validar precisión del sistema.,Se propone que el brazo pueda colocar un anillo sobre un dedo de una mano impresa en 3D.,MEDIA,T44,30/10/2026,,"0,00%"
Expansiones futuras,R9.0,Expansión futura con visión e IA,"El sistema inicial no incluirá visión artificial ni inteligencia artificial, pero deberá contemplar la posibilidad de incorporar reconocimiento de objetos en futuras versiones.",Permitir la evolución del producto hacia tareas más avanzadas.,Diseño modular que permita integrar sensores y procesamiento adicional en una etapa posterior.,BAJA,"T02, T15",,,"37,50%"
Expansiones futuras,R9.1,Expansión futura con telemetría,"El sistema deberá contemplar la posibilidad de incorporar en futuras versiones funciones de monitoreo, registro y consulta del estado operativo.","Facilitar diagnóstico, análisis de uso y mantenimiento futuro.","Diseño preparado para agregar registro de eventos, estados y datos de operación.",BAJA,"T02, T15",,,"37,50%"
Expansiones futuras,R9.2,Expansión futura de interfaz remota,"El sistema inicial no dependerá de una aplicación externa, pero deberá poder evolucionar hacia una interfaz remota de supervisión o configuración.",Permitir futuras mejoras de operación y mantenimiento.,Arquitectura preparada para integrar comunicación con una aplicación o panel externo.,BAJA,"T02, T15",,,"37,50%"
Expansiones futuras,R9.3,Expansión futura de herramientas,El brazo deberá contemplar la posibilidad de incorporar herramientas o accesorios de manipulación específicos en versiones futuras.,Ampliar el rango de aplicaciones del producto.,Diseño funcional preparado para adaptar el extremo de trabajo del brazo.,BAJA,"T02, T03, T15",,,"41,67%"
Expansiones futuras,R9.4,Expansión futura de interfaz local,El sistema deberá contemplar la posibilidad de incorporar controles individuales para los movimientos de cada actuador.,Brindar otra forma de manipulación manual del brazo robótico.,Incorporar hardware dedicado para la operación aislada de cada servomotor.,MEDIA,"T33, T34",,,"0,00%"
